GO Title , GF count , BT count , RF count, GF std, BT std, RF std, p-val, q-val
Q9CPU4,0.000000,0.000000,0.001029,0.000000,0.000000,0.000065,0.000000,0.000008
Q3V0K9,0.003959,0.002036,0.000302,0.000061,0.000439,0.000262,0.000017,0.000848
Q80X90,0.000573,0.000400,0.000065,0.000067,0.000022,0.000028,0.000022,0.000848
Q9ER05,0.041568,0.042385,0.118249,0.007784,0.016355,0.013462,0.000312,0.007534
P62204,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000406,0.007534
Q80Z20,0.000124,0.000109,0.000585,0.000059,0.000103,0.000067,0.000467,0.007534
Q9DBX3,0.001913,0.000651,0.000378,0.000273,0.000103,0.000248,0.000476,0.007534
Q9JKF1,0.000126,0.000110,0.000017,0.000011,0.000022,0.000016,0.000521,0.007534
Q8R0I0,0.075883,0.088529,0.034148,0.008468,0.011784,0.004226,0.000635,0.008153
Q3TJ69,0.002975,0.001189,0.003498,0.000341,0.000297,0.000542,0.001054,0.011542
Q54AH9,0.000311,0.000342,0.018214,0.000328,0.000593,0.006222,0.001121,0.011542
Q61650,0.000622,0.000000,0.036967,0.001078,0.000000,0.012704,0.001256,0.011542
Q61352,0.000000,0.000000,0.000323,0.000000,0.000000,0.000110,0.001298,0.011542
Q9CPN9,0.064993,0.075755,0.124566,0.007635,0.016180,0.011177,0.002112,0.017433
B2RS76,0.077771,0.083463,0.128251,0.013438,0.004900,0.012285,0.002418,0.018376
Q7TPZ8,0.052285,0.030009,0.090809,0.011326,0.005664,0.016982,0.002544,0.018376
P16406,0.009006,0.006054,0.002435,0.000796,0.001935,0.001091,0.003129,0.020128
P97821,0.001015,0.000803,0.000300,0.000128,0.000225,0.000050,0.003135,0.020128
P11679,0.005032,0.005353,0.000912,0.001471,0.000934,0.000678,0.003801,0.021364
P07356,0.005853,0.005689,0.002047,0.001266,0.000825,0.000546,0.003851,0.021364
P26040,0.002827,0.003337,0.001010,0.000537,0.000671,0.000301,0.004011,0.021364
P06151,0.002784,0.001896,0.000863,0.000336,0.000535,0.000352,0.004067,0.021364
Q62468,0.007657,0.004784,0.000440,0.001587,0.002181,0.000635,0.004281,0.021515
P03958,0.016418,0.011732,0.007431,0.001813,0.002713,0.001519,0.004887,0.023380
Q9JLB4,0.001503,0.000895,0.000447,0.000314,0.000241,0.000144,0.005241,0.023380
Q9Z0L8,0.010902,0.003687,0.001277,0.002818,0.002648,0.000654,0.005279,0.023380
Q9JK88,0.000146,0.000162,0.000800,0.000128,0.000179,0.000199,0.005462,0.023380
B5THE3,0.014102,0.011772,0.004102,0.001930,0.003642,0.001474,0.006023,0.023863
Q9Z0Y2,0.007365,0.007612,0.029001,0.001326,0.007992,0.006252,0.006282,0.023863
P57096,0.011114,0.011848,0.019602,0.001902,0.003331,0.000903,0.006581,0.023863
O88310,0.003350,0.002990,0.000563,0.001016,0.000728,0.000196,0.006697,0.023863
Q99JW5,0.002312,0.001066,0.000052,0.000763,0.000544,0.000091,0.006768,0.023863
Q6UL10,0.000198,0.000134,0.000000,0.000033,0.000075,0.000000,0.006814,0.023863
P31809,0.008325,0.008896,0.000745,0.003456,0.001789,0.000019,0.007290,0.024351
Q8VHF2,0.002809,0.002552,0.000392,0.000570,0.000962,0.000146,0.007538,0.024351
Q93092,0.000319,0.000695,0.000211,0.000109,0.000153,0.000109,0.007585,0.024351
P11438,0.002512,0.000714,0.000046,0.001032,0.000393,0.000080,0.008084,0.025253
Q0VD75,0.022528,0.018366,0.008839,0.003803,0.003581,0.003442,0.009183,0.027929
P15947,0.042734,0.031525,0.028124,0.006471,0.000293,0.003229,0.011022,0.029890
Q8C5Q6,0.013882,0.013007,0.008033,0.001329,0.001366,0.002217,0.011342,0.029890
Q07797,0.007670,0.004671,0.002359,0.002090,0.000856,0.001164,0.011371,0.029890
P17563,0.007047,0.006877,0.001137,0.001874,0.002276,0.001070,0.011997,0.029890
P68372,0.003935,0.003749,0.000927,0.001226,0.000959,0.000221,0.012101,0.029890
Q61247,0.002881,0.001534,0.000332,0.000463,0.001110,0.000142,0.012177,0.029890
Q9JMH6,0.001028,0.001843,0.000345,0.000569,0.000364,0.000225,0.012199,0.029890
Q91WV7,0.001552,0.000649,0.000022,0.000298,0.000664,0.000038,0.012324,0.029890
P19467,0.000945,0.000871,0.000364,0.000107,0.000138,0.000246,0.012348,0.029890
Q64467,0.000154,0.002938,0.000874,0.000140,0.001298,0.000404,0.012613,0.029890
Q3THX5,0.000308,0.000157,0.000000,0.000048,0.000137,0.000000,0.012672,0.029890
